Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
Ang Mo Kio,3-ROOM,441 ,ANG MO KIO AVE 10 ,- ,NA (Keys Available) ,01 Jan 1979  ,1,0,1,#02-1277*,"$174,800",67,False
Ang Mo Kio,3-ROOM,471 ,ANG MO KIO AVE 10 ,- ,NA (Keys Available) ,01 Jul 1979  ,1,0,1,#10-762*,"$184,300",67,False
Ang Mo Kio,3-ROOM,590A ,ANG MO KIO ST 51 ,- ,NA (Keys Available) ,01 Feb 2019  ,1,0,1,#04-03,"$363,700",68,False
Ang Mo Kio,3-ROOM,590A ,ANG MO KIO ST 51 ,- ,NA (Keys Available) ,01 Feb 2019  ,1,0,1,#11-03,,,True
Ang Mo Kio,4-Room,470 ,ANG MO KIO AVE 10 ,- ,NA (Keys Available) ,01 Nov 1979  ,1,0,1,#10-902*,"$276,400",92,False
Ang Mo Kio,4-Room,591A ,ANG MO KIO ST 51 ,- ,NA (Keys Available) ,01 Feb 2019  ,1,0,1,#07-47,"$525,000",93,False
Ang Mo Kio,5-Room,307C ,ANG MO KIO AVE 1 ,- ,NA (Keys Available) ,From keys collection date  ,1,0,0,#05-443*,"$84,300 - 15 Years<br>$99,700 - 20 Years<br>$112,300 - 25 Years<br>$122,700 - 30 Years<br>$131,500 - 35 Years<br>$139,000 - 40 Years<br>$145,300 - 45 Years",50,False
Bukit Batok,4-Room,209 ,BT BATOK ST 21 ,- ,NA (Keys Available) ,01 Mar 1985  ,1,0,1,#04-188*,"$323,900",116,False
Bedok,3-ROOM,100 ,BEDOK NTH AVE 4 ,- ,NA (Keys Available) ,01 Nov 1978  ,1,1,1,#14-1932*,"$199,000",67,False
Bedok,3-ROOM,501 ,BEDOK NTH ST 3 ,- ,NA (Keys Available) ,01 Apr 1978  ,0,1,1,#04-24*,"$154,000",59,False
