HDB Exercise,Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),418,CLEMENTI AVE 1 ,- ,NA (Keys Available) ,1-Sep-13,1,1,1,#12-243*,"$76,000 - 15 Years<br>$91,200 - 20 Years<br>$103,700 - 25 Years<br>$114,000 - 30 Years<br>$122,700 - 35 Years<br>$130,200 - 40 Years<br>$136,400 - 45 Years<br>$225,000 - Remaining",49,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,1,1,1,#14-52,"$83,600 - 15 Years<br>$100,200 - 20 Years<br>$113,900 - 25 Years<br>$125,100 - 30 Years<br>$134,600 - 35 Years<br>$142,700 - 40 Years<br>$149,600 - 45 Years<br>$249,600 - 99 Years",47,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#09-21,"$49,300 - 15 Years<br>$59,000 - 20 Years<br>$67,000 - 25 Years<br>$73,600 - 30 Years<br>$79,200 - 35 Years<br>$83,900 - 40 Years<br>$88,000 - 45 Years<br>$146,600 - 99 Years",38,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#15-21,"$51,700 - 15 Years<br>$61,900 - 20 Years<br>$70,300 - 25 Years<br>$77,200 - 30 Years<br>$83,100 - 35 Years<br>$88,100 - 40 Years<br>$92,300 - 45 Years<br>$153,800 - 99 Years",38,FALSE
SBF,clementi,2-Room Flexi (Short Lease/99-Year Lease),801A ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,3,3,3,#16-21,"$51,900 - 15 Years<br>$62,200 - 20 Years<br>$70,700 - 25 Years<br>$77,600 - 30 Years<br>$83,500 - 35 Years<br>$88,500 - 40 Years<br>$92,700 - 45 Years<br>$154,600 - 99 Years",38,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#21-245,"$355,600 ",68,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#27-245,"$360,600 ",68,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#09-247,"$343,600 ",68,FALSE
SBF,clementi,3-ROOM,210B ,CLEMENTI AVE 6 ,3Q/2022 ,31-Mar-23,-  ,4,4,4,#13-247,"$347,600 ",68,FALSE
SBF,clementi,3-ROOM,211A ,CLEMENTI AVE 6 ,4Q/2022 ,30-Apr-23,-  ,3,1,3,#14-285,"$342,900 ",68,FALSE
